,mean,2.5%,97.5%,histogram
dS.nat,-2.3186,-4.1489,-0.7146,▁▁▁▃▇▅▁▁
dS.old,-0.6638,-2.7101,0.6634,▁▁▁▁▃▇▃▁▁
dS.exp,-0.2808,-1.4049,0.7608,▁▁▁▁▁▃▇▃▁▁▁▁
S.KG.nat,-2.7391,-4.4793,-1.3466,▁▁▁▁▁▁▃▅▇▇▃▁▁
S.KG.exp,-0.7013,-1.7279,-0.1017,▁▁▁▁▃▇▇
S.KGP,-0.4205,-1.2511,-0.0290,▁▁▁▁▁▁▁▁▂▃▅▇▇
S.KG.old,-1.0843,-3.0807,-0.1313,▁▁▁▁▁▁▁▁▂▃▅▇▇
dD.nat,-2.1273,-2.8306,-1.4308,▁▁▁▁▂▃▇▇▅▃▂▁▁▁▁
dD.old,-1.3021,-2.1935,-0.3959,▁▁▅▇▃▁▁
dD.exp,0.2202,-0.4951,0.9417,▁▁▁▁▃▅▇▇▅▃▁▁▁▁
D.KG.nat,-1.6131,-2.1034,-1.1090,▁▁▁▁▃▇▇▃▁▁▁
D.KG.exp,0.7344,0.2125,1.2627,▁▁▁▂▅▇▇▃▁▁▁
D.KGP,0.5142,0.0079,1.0112,▁▁▁▂▅▇▇▂▁▁▁
D.KG.old,-0.7880,-1.5321,-0.0462,▁▁▁▁▃▅▇▇▅▃▁▁▁▁▁
D.K.KGP.KG,1.1967,0.6593,1.7341,▁▁▁▂▅▇▇▃▂▁▁▁
D.K.KO.KG,-0.3059,-0.7718,0.1552,▁▁▁▂▅▇▅▂▁▁
S.K.KGP.KG,-1.5717,-3.0726,-0.5018,▁▁▁▁▁▂▃▇▇▃▁
S.K.KO.KG,-0.2269,-0.6669,-0.0632,▁▁▁▁▁▁▁▃▇
S.G.KGP.KG,-11.2063,-14.5834,-8.2736,▁▁▁▁▂▅▇▇▅▂▁▁▁
D.G.KGP.KG,3.3240,2.8569,3.7927,▁▁▁▂▅▇▇▂▁▁
