,mean,2.5%,97.5%,histogram
dS.nat,1.437,0.657,2.386,▁▂▇▅▂▁▁
dS.old,1.031,-0.099,2.134,▁▁▁▁▂▇▇▃▁▁▁
dS.exp,1.221,0.426,2.179,▁▁▅▇▃▁▁▁
S.KG.nat,-0.072,-0.189,-0.026,▁▁▁▁▁▁▁▁▂▇▅
S.KG.exp,-0.289,-0.542,-0.121,▁▁▁▁▁▂▅▇▃▁
S.KGP,-1.510,-2.451,-0.743,▁▁▂▇▇▂▁
S.KG.old,-0.479,-1.316,-0.069,▁▁▁▁▁▁▁▁▁▂▃▅▇▇
dD.nat,-1.032,-1.485,-0.576,▁▁▁▃▇▇▂▁▁▁
dD.old,-0.605,-1.190,-0.026,▁▁▁▂▅▇▇▅▂▁▁▁
dD.exp,-1.245,-1.704,-0.781,▁▁▁▁▅▇▇▂▁▁
D.KG.nat,-0.013,-0.335,0.310,▁▁▁▁▂▅▇▇▅▂▁▁▁▁
D.KG.exp,-0.226,-0.561,0.108,▁▁▁▁▁▃▅▇▇▅▂▁▁▁▁
D.KGP,1.019,0.697,1.338,▁▁▁▁▂▅▇▇▅▃▁▁▁
D.KG.old,0.415,-0.074,0.892,▁▁▁▃▇▇▃▁▁▁
D.K.KGP.KG,-0.417,-0.758,-0.070,▁▁▂▇▇▂▁▁
D.K.KO.KG,0.495,0.196,0.793,▁▁▁▁▂▅▇▇▃▂▁▁▁▁
S.K.KGP.KG,-0.289,-0.673,-0.081,▁▁▁▁▁▁▁▁▂▂▅▇▇▂
S.K.KO.KG,-0.339,-0.707,-0.104,▁▁▁▁▁▁▁▁▂▃▇▇▅▁
S.G.KGP.KG,-0.806,-1.469,-0.301,▁▁▁▁▁▂▃▇▇▅▂▁
D.G.KGP.KG,0.615,0.310,0.916,▁▁▁▂▃▇▇▅▂▁▁▁
