"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"FGGuppy:HabitatKG.exp",2.87547857112133,0.594784736844797,16.1370068428616,4.83448614766935,0.000178786871816386
"FGKillifish:HabitatKG.exp",3.22964627876056,0.587851827337114,15.3979335473638,5.49398016399881,5.62250635097652e-05
"FGGuppy:HabitatKG.nat",3.61698447240509,0.353771106330552,18.1645515298029,10.2240810729905,5.79097478896829e-09
"FGKillifish:HabitatKG.nat",3.2434709680468,0.358041107421347,19.0653422468652,9.05893457711224,2.44971262328511e-08
"FGGuppy:HabitatKG.old",4.15771473736297,0.443879105307452,19.9986115819843,9.36677281640265,9.40023677061299e-09
"FGKillifish:HabitatKG.old",4.02104524031398,0.452731230427375,21.6512369471967,8.88174919260184,1.14277295401294e-08
"FGGuppy:HabitatKGP",3.21167203444467,0.315258226312224,20.3418142879682,10.1874329244748,1.94347489813381e-09
"FGKillifish:HabitatKGP",2.69457771719036,0.322842145114652,22.3889476553508,8.34642489515558,2.53303728050105e-08
"FGKillifish:HabitatKO",3.77812975474584,0.299376508283948,16.5634488841256,12.6199940549858,6.43236865012252e-10
"FGGuppy:HabitatKG.exp:Length.cen",0.056788685606365,0.0205964522645285,805.801366680312,2.75720715766992,0.00596162799731149
"FGKillifish:HabitatKG.exp:Length.cen",0.0440754415706764,0.00645816817918792,805.801366649201,6.8247590257426,1.73158632116647e-11
"FGGuppy:HabitatKG.nat:Length.cen",-0.0108334428063151,0.0150264544228211,809.422032088251,-0.720958018537097,0.471143516901798
"FGKillifish:HabitatKG.nat:Length.cen",0.0309560074113626,0.00434316088959544,806.163814730793,7.12752951094245,2.27082329399889e-12
"FGGuppy:HabitatKG.old:Length.cen",0.0679944954524398,0.0286713693043711,807.28429452967,2.37151196828516,0.0179491952234355
"FGKillifish:HabitatKG.old:Length.cen",0.0419325121960457,0.00757464321587078,805.868213102137,5.53590591675481,4.19034151083696e-08
"FGGuppy:HabitatKGP:Length.cen",0.0930732384873939,0.0190077816983477,809.584617069983,4.89658603852151,1.1773909032126e-06
"FGKillifish:HabitatKGP:Length.cen",0.0400043828665851,0.0058720037526416,806.637058251144,6.81273114796438,1.87293630151592e-11
"FGKillifish:HabitatKO:Length.cen",0.0321185018795005,0.00313830700764345,806.424558009603,10.2343402991724,3.39080672777445e-23
