"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"FGGuppy:HabitatKG.exp",2.62489174630867,1.42295259644073,10.0788568395003,1.84467968425257,0.0946354859100264
"FGKillifish:HabitatKG.exp",1.56324877606365,1.417181350174,9.91634380898916,1.10306897269832,0.296046553309585
"FGGuppy:HabitatKG.nat",0.90754218015055,0.851845196418969,10.4553998862436,1.06538392652294,0.310686902357192
"FGKillifish:HabitatKG.nat",2.36061632070565,0.855410456817673,10.632166109194,2.75962995529385,0.0191077924175596
"FGGuppy:HabitatKG.old",3.30337117954513,1.04010977054907,11.2027277136056,3.17598322127222,0.00863759534273275
"FGKillifish:HabitatKG.old",2.97136083025033,1.04770971890441,11.5342449128989,2.83605351428588,0.0155303749091705
"FGGuppy:HabitatKGP",4.24090353374098,0.753556242208866,10.0488741779717,5.62785270188966,0.000215150413846415
"FGKillifish:HabitatKGP",3.63827649348284,0.759972708246792,10.3961837347963,4.78737782818032,0.000661381937481836
"FGKillifish:HabitatKO",2.29272300087578,0.740541158213859,9.37314046925629,3.09601022906774,0.0122074861567036
"FGGuppy:HabitatKG.exp:Length.cen",-0.00140365256150363,0.0291214648950763,805.898161374467,-0.0481999297274688,0.961568848330448
"FGKillifish:HabitatKG.exp:Length.cen",0.031819848402988,0.0091312482121311,805.898161384788,3.48472056215869,0.000519250098467547
"FGGuppy:HabitatKG.nat:Length.cen",0.0142464058930108,0.0212372745919297,810.155773516026,0.670820817018797,0.502525877058303
"FGKillifish:HabitatKG.nat:Length.cen",0.0277976726225292,0.0061405822358,806.380889572233,4.52687897581876,6.8881345559963e-06
"FGGuppy:HabitatKG.old:Length.cen",-0.0787550643137226,0.0405319800523537,807.801616256892,-1.94303520854391,0.0523589891451365
"FGKillifish:HabitatKG.old:Length.cen",0.0381466275445959,0.0107097625280601,805.987788008064,3.5618555915362,0.000389854034425323
"FGGuppy:HabitatKGP:Length.cen",0.00187602371953425,0.0268631685475563,810.387501759446,0.0698362784796996,0.944341200403665
"FGKillifish:HabitatKGP:Length.cen",0.0216494668521315,0.00830171801721244,806.986968135662,2.60782970551932,0.00928022230657111
"FGKillifish:HabitatKO:Length.cen",0.0333571438207422,0.00443782441044858,806.105226311986,7.51655332333675,1.49789439301178e-13
