"","FGGuppy:HabitatKG.exp","FGKillifish:HabitatKG.exp","FGGuppy:HabitatKG.nat","FGKillifish:HabitatKG.nat","FGGuppy:HabitatKG.old","FGKillifish:HabitatKG.old","FGGuppy:HabitatKGP","FGKillifish:HabitatKGP","FGKillifish:HabitatKO","FGGuppy:HabitatKG.exp:Length.cen","FGKillifish:HabitatKG.exp:Length.cen","FGGuppy:HabitatKG.nat:Length.cen","FGKillifish:HabitatKG.nat:Length.cen","FGGuppy:HabitatKG.old:Length.cen","FGKillifish:HabitatKG.old:Length.cen","FGGuppy:HabitatKGP:Length.cen","FGKillifish:HabitatKGP:Length.cen","FGKillifish:HabitatKO:Length.cen"
"FGGuppy:HabitatKG.exp",2.02479409171743,1.72803897634999,0.140956248939175,0.140518710735101,0.0505107069692535,0.050531869481416,0.116042872663435,0.116256617513125,0.116983609849573,-0.00649731167361725,8.26914102001517e-18,-5.57923458516049e-05,-4.09819774580863e-06,3.10190549660288e-06,1.72189094993733e-07,3.80011544897449e-05,4.01255298836999e-06,-5.02738451765351e-06
"FGKillifish:HabitatKG.exp",1.72803897634999,2.00840297928099,0.140956248939175,0.140518710735101,0.0505107069692535,0.050531869481416,0.116042872663435,0.116256617513125,0.116983609849573,1.20540532259896e-16,-0.0016684789857509,-5.57923458516049e-05,-4.09819774580863e-06,3.10190549660288e-06,1.72189094993733e-07,3.80011544897449e-05,4.01255298836999e-06,-5.02738451765352e-06
"FGGuppy:HabitatKG.nat",0.140956248939175,0.140956248939175,0.725640238662072,0.612278124609692,0.091890881480178,0.0920228031312172,0.116168830013371,0.116346777981358,0.116469662869461,-3.27491560643729e-17,-1.07669515031912e-17,-0.00326172862934145,-8.0136602519341e-07,1.93364800612483e-05,1.0733824759301e-06,2.39931290502736e-05,4.24864207154917e-07,-2.72306894173784e-07
"FGKillifish:HabitatKG.nat",0.140518710735101,0.140518710735101,0.612278124609692,0.73172704963302,0.0919833628689778,0.0921155321788596,0.116169190164601,0.116347051530023,0.116468240727564,-3.26482577156899e-17,-1.07353484239468e-17,-3.64653717509012e-07,-0.00105325097090682,1.93727807763714e-05,1.0753975557871e-06,2.39507774208991e-05,4.13186224441332e-07,-2.61267497997511e-07
"FGGuppy:HabitatKG.old",0.0505107069692535,0.0505107069692535,0.091890881480178,0.0919833628689778,1.08182833479163,0.893243832976325,0.116555657725919,0.116352475692091,0.116253948680853,-1.17384118117955e-17,-3.86216497447026e-18,1.5191985256342e-05,2.23091234167381e-06,-0.00938063560439839,-1.08750459632568e-06,-1.80993659988687e-05,2.64371220166638e-06,4.26841226951878e-06
"FGKillifish:HabitatKG.old",0.050531869481416,0.050531869481416,0.0920228031312172,0.0921155321788596,0.893243832976325,1.09769565508676,0.116554330932476,0.116352200117689,0.116254518032992,-1.17433279348668e-17,-3.86378084281828e-18,1.52326397904286e-05,2.23687510487231e-06,-7.3804210342076e-06,-0.0028204594160252,-1.79282727300981e-05,2.65609225015237e-06,4.27950769285562e-06
"FGGuppy:HabitatKGP",0.116042872663435,0.116042872663435,0.116168830013371,0.116169190164601,0.116555657725919,0.116554330932476,0.567847010171947,0.471846086436434,0.116368557836907,-2.69666708603111e-17,-8.87144247546492e-18,4.05965090060413e-08,1.23440609822981e-09,-1.94475393128277e-07,-1.07954745695956e-08,-0.00451514942033573,-1.07388336705623e-06,-5.56595192281843e-10
"FGKillifish:HabitatKGP",0.116256617513125,0.116256617513125,0.116346777981358,0.116347051530023,0.116352475692091,0.116352200117689,0.471846086436434,0.577558517279963,0.116369403847493,-2.70142604861339e-17,-8.8885004690316e-18,2.79281347600529e-08,-2.29258061429267e-10,-4.03924518146658e-08,-2.24221521111522e-09,-3.89400114350944e-06,-0.00164062964530353,-3.34037801553824e-09
"FGKillifish:HabitatKO",0.116983609849573,0.116983609849573,0.116469662869461,0.116468240727564,0.116253948680853,0.116254518032992,0.116368557836907,0.116369403847493,0.548401207008724,-2.7192330515087e-17,-8.95139351426739e-18,-1.69049518456668e-07,-8.38498549069948e-09,8.34530662621867e-08,4.6325421595843e-09,1.86616172863525e-07,2.8087033749578e-08,-0.000499822039205307
"FGGuppy:HabitatKG.exp:Length.cen",-0.00649731167361725,1.20540532259896e-16,-3.27491560643729e-17,-3.26482577156899e-17,-1.17384118117955e-17,-1.17433279348668e-17,-2.69666708603111e-17,-2.70142604861339e-17,-2.7192330515087e-17,0.000848059717635162,2.73901332199111e-21,1.29473333262097e-20,9.82027787640159e-22,-7.20583126409588e-22,-4.00001084946364e-23,-8.78309125179944e-21,-9.85532502707048e-22,1.17351616583222e-21
"FGKillifish:HabitatKG.exp:Length.cen",8.26914102001517e-18,-0.0016684789857509,-1.07669515031912e-17,-1.07353484239468e-17,-3.86216497447026e-18,-3.86378084281828e-18,-8.87144247546492e-18,-8.8885004690316e-18,-8.95139351426739e-18,2.73901332199111e-21,8.33796939115475e-05,4.19178258551834e-21,3.14557077351606e-22,-2.36846687766736e-22,-1.31475368490377e-23,-2.86941558748388e-21,-2.87695677757443e-22,3.91456082337593e-22
"FGGuppy:HabitatKG.nat:Length.cen",-5.57923458516049e-05,-5.57923458516049e-05,-0.00326172862934145,-3.64653717509012e-07,1.5191985256342e-05,1.52326397904286e-05,4.05965090060413e-08,2.79281347600529e-08,-1.69049518456668e-07,1.29473333262097e-20,4.19178258551834e-21,0.000451021832093024,9.49006262959949e-08,5.95895807527304e-09,3.30786221303832e-10,-4.34982783791904e-09,-1.05439968910171e-09,1.71614864316283e-09
"FGKillifish:HabitatKG.nat:Length.cen",-4.09819774580863e-06,-4.09819774580863e-06,-8.0136602519341e-07,-0.00105325097090682,2.23091234167381e-06,2.23687510487231e-06,1.23440609822981e-09,-2.29258061429267e-10,-8.38498549069948e-09,9.82027787640159e-22,3.14557077351606e-22,9.49006262959949e-08,3.77067501946226e-05,8.73994911293042e-10,4.85161114566253e-11,2.50926386414276e-11,6.51374551303927e-11,2.27238770488345e-10
"FGGuppy:HabitatKG.old:Length.cen",3.10190549660288e-06,3.10190549660288e-06,1.93364800612483e-05,1.93727807763714e-05,-0.00938063560439839,-7.3804210342076e-06,-1.94475393128277e-07,-4.03924518146658e-08,8.34530662621867e-08,-7.20583126409588e-22,-2.36846687766736e-22,5.95895807527304e-09,8.73994911293042e-10,0.0016428414069644,9.93506087791699e-08,2.50780789515979e-08,1.8146116184905e-09,1.62631706344961e-09
"FGKillifish:HabitatKG.old:Length.cen",1.72189094993733e-07,1.72189094993733e-07,1.0733824759301e-06,1.0753975557871e-06,-1.08750459632568e-06,-0.0028204594160252,-1.07954745695956e-08,-2.24221521111522e-09,4.6325421595843e-09,-4.00001084946364e-23,-1.31475368490377e-23,3.30786221303832e-10,4.85161114566253e-11,9.93506087791699e-08,0.000114699013407441,1.39210292623666e-09,1.00730448650797e-10,9.02780770169714e-11
"FGGuppy:HabitatKGP:Length.cen",3.80011544897449e-05,3.80011544897449e-05,2.39931290502736e-05,2.39507774208991e-05,-1.80993659988687e-05,-1.79282727300981e-05,-0.00451514942033573,-3.89400114350944e-06,1.86616172863525e-07,-8.78309125179944e-21,-2.86941558748388e-21,-4.34982783791904e-09,2.50926386414276e-11,2.50780789515979e-08,1.39210292623666e-09,0.000721629824414416,1.62108335593542e-07,4.61112093495471e-10
