"Full_name","SP","FG","Habitat","drainage","Sex","Fish_w_g","Length","T_Length","SampleWeight","d15N","d15N_sd","d13C","d13C_sd","EN","EC","Date_Collected","Date.Processed","d13Cb","CNratio","d15Nb","d15N.Gr","d15N.Sh","d13C.Gr","d13C.Sh"
"Aripo-HP-1","G","Guppy","KGP","Aripo","F",0.274,22.79,NA,0.296,8.467994977,0.178618678,-25.66101449,0.165119009,9.60694,31.54796364,"3/13/2017","3/13/2017",-29.136259105,3.283872246,4.959796909,4.53339244,5.386201379,-29.44626995,-28.82624826
"Aripo-HP-10","G","Guppy","KGP","Aripo","F",0.187,18.6,NA,0.521,8.39255884,0.113189511,-27.52420629,0.094978363,11.50577143,46.95772857,"3/13/2017","3/13/2017",-29.136259105,4.081232524,4.959796909,4.53339244,5.386201379,-29.44626995,-28.82624826
"Aripo-HP-11","G","Guppy","KGP","Aripo","F",0.286,22.33,NA,0.404,8.409421504,0.178618678,-26.05075642,0.165119009,7.01872,23.61066364,"3/13/2017","3/13/2017",-29.136259105,3.363955769,4.959796909,4.53339244,5.386201379,-29.44626995,-28.82624826
"Aripo-HP-12","G","Guppy","KGP","Aripo","F",0.129,17.23,NA,0.642,7.856074697,0.113189511,-27.27819457,0.094978363,11.11307143,43.17952857,"3/13/2017","3/13/2017",-29.136259105,3.885472063,4.959796909,4.53339244,5.386201379,-29.44626995,-28.82624826
"Aripo-HP-13","G","Guppy","KGP","Aripo","F",0.047,12.53,NA,0.264,8.985812341,0.113189511,-27.24727624,0.094978363,8.292151429,37.01952857,"3/13/2017","3/13/2017",-29.136259105,4.464405756,4.959796909,4.53339244,5.386201379,-29.44626995,-28.82624826
"Aripo-HP-14","G","Guppy","KGP","Aripo","F",0.092,16.11,NA,0.578,7.856136335,0.14433061,-27.65614958,0.046300781,10.20208571,42.17308571,"3/13/2017","3/13/2017",-29.136259105,4.133770966,4.959796909,4.53339244,5.386201379,-29.44626995,-28.82624826
"Aripo-HP-15","G","Guppy","KGP","Aripo","M",0.095,16.52,NA,0.451,9.273685643,0.178618678,-26.83944058,0.165119009,5.99764,21.37226364,"3/13/2017","3/13/2017",-29.136259105,3.563445561,4.959796909,4.53339244,5.386201379,-29.44626995,-28.82624826
"Aripo-HP-16","G","Guppy","KGP","Aripo","M",0.067,14.96,NA,0.664,8.292836316,0.113189511,-27.05081675,0.094978363,10.16567143,37.29672857,"3/13/2017","3/13/2017",-29.136259105,3.668889835,4.959796909,4.53339244,5.386201379,-29.44626995,-28.82624826
"Aripo-HP-17","G","Guppy","KGP","Aripo","F",0.046,12.43,NA,0.543,8.162957111,0.17537733,-27.15203351,0.141761925,10.43425,37.252375,"3/13/2017","3/13/2017",-29.136259105,3.5702015,4.959796909,4.53339244,5.386201379,-29.44626995,-28.82624826
"Aripo-HP-18","G","Guppy","KGP","Aripo","M",0.079,15.36,NA,0.392,6.881175477,0.17537733,-28.9677092,0.141761925,11.15765,37.394375,"3/13/2017","3/13/2017",-29.136259105,3.351456176,4.959796909,4.53339244,5.386201379,-29.44626995,-28.82624826
